ethereum_address,github_username,impact_percentage
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,49.30
0x1f1319c79F1496357781691a22B1f37dAC9D844F,gscdev,28.68
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,15.62
0x6321286F9B73f427C72e1f9F1bC6b3d25eF06605,hhio618,2.28
0x4EF632A33a86Fe4170cF90fB5735d5aedF9B7C8d,xinminsu,1.74
0x0000000000000000000000000000000000000000,wkm97,1.20
0x0000000000000000000000000000000000000000,Keerthi4308,0.59
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,coderabbitai,0.30
0x0000000000000000000000000000000000000000,samuk,0.27
0x0000000000000000000000000000000000000000,LDuncAndroid,0.03
